name,area_name,salary_from,salary_to,salary_currency,published_at,employer_name,requirement,schedule_id,working_hours_id,work_schedule_by_days,professional_roles,experience_name,employment_id
Java-разработчик,Алматы,1000000.0,1300000.0,KZT,2024-12-16T12:17:55+0300,RNM KZ,Опыт коммерческой <highlighttext>разработки</highlighttext> на Java от 3 лет. Глубокие знания Java 8+ и JVM. Опыт работы с Spring Framework...,fullDay,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
IOS разработчик (Middle/Senior),Алматы,,,,2024-12-12T09:40:57+0300,RedLab,Swift и Xсode. Опыт в проектировании клиент-серверного взаимодействия. Опыт работы с кастомными UI-компонентами. Знание ООП и структуры данных. ,remote,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
IOS Developer,Алматы,,,,2024-12-11T19:22:10+0300,Andersen,Commercial <highlighttext>iOS</highlighttext> <highlighttext>development</highlighttext> experience for 3+ years. Strong knowledge of <highlighttext>iOS</highlighttext> SDK. Commercial experience of Swift <highlighttext>development</highlighttext>. ,fullDay,OTHER,Другое,"Программист, разработчик",От 3 до 6 лет,full
QA Mobile,Астана,,,,2024-11-21T11:32:51+0300,КПЕ Центр разработки (Казахстан),Опыт работы QA-инженером (мобильные приложения) от 2х лет. - Умение тестировать и документировать. - Базовые знания СУБД и SQL. - ,fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Программист-разработчик PHP,Алматы,350000.0,600000.0,KZT,2024-12-02T15:56:11+0300,Paloma365,"Html. Jquery. Css. Мобильная верстка. Приветствуется знания: Delphi. Необходимые навыки: Программировать сверху вниз(спроектировать-распланировать, а после приступать к <highlighttext>разработке</highlighttext>).",remote,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
QA Middle,Астана,,,,2024-12-17T09:33:01+0300,IT Analytics,2. Понимание процессов <highlighttext>разработки</highlighttext>: Глубокое понимание жизненного цикла <highlighttext>разработки</highlighttext> ПО и участие во всех его этапах. 3. Знание Postman: Уверенное...,fullDay,HOURS_8,5/2,Тестировщик,От 1 года до 3 лет,full
IOS-разработчик,Астана,,,,2024-11-20T18:13:54+0300,red_mad_robot,Опыт работы с различными <highlighttext>developer</highlighttext> tools. Пример кода на GitHub. Портфолио успешно реализованных проектов. Опыт <highlighttext>разработки</highlighttext> банковских приложений.,fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Product designer,Алматы,,,,2024-11-28T12:07:25+0300,"Beeline, ТМ","Базовые навыки HTML и CSS (будешь тесно взаимодействовать с frontend-<highlighttext>разработчиком</highlighttext>). Если умеешь работать в 3D, motion или анимации...",remote,HOURS_8,5/2,"Дизайнер, художник",От 3 до 6 лет,full
Senior QA Engineer,Алматы,800000.0,,KZT,2024-12-15T13:45:30+0300,IT Space Apps,"1)Навыки управления ресурсами: должен уметь эффективно планировать и распределять задачи среди QA команды, обеспечивая максимальную продуктивность и избегая перегрузок. ",fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
QA Team Lead,Алматы,,,,2024-11-20T11:03:24+0300,Khan Group,"Опыт написания тестов ui и api. Опыт тестирования мобильных приложений (Android, <highlighttext>IOS</highlighttext>). Опыт работы с Fiddler, adb. Понимание основных принципов...",fullDay,HOURS_8,5/2,Тестировщик,От 3 до 6 лет,full
Flutter разработчик,Алматы,,,,2024-12-04T12:34:35+0300,Thousand IT Company,Опыт программирования на языке flutter от 1 года обязательно. Опыт программирования на любом языке не менее года. Применять методы и...,fullDay,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Senior iOS Developer,Алматы,,,,2024-11-20T12:47:25+0300,BTS Digital,"Понимание и опыт применения функциональных паттернов и чистых функций в <highlighttext>разработке</highlighttext>. Знание инструментов <highlighttext>разработки</highlighttext> <highlighttext>iOS</highlighttext>, включая Xcode, LLDB, SPM, Carthage...",fullDay,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
Node.js backend developer,Астана,,,,2024-11-25T15:29:48+0300,Zoftify Eesti OÜ,Work in an agile environment. 2+ years of Node.js experience. Practical experience with Typescript. Experience in building REST API...,remote,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Flutter-разработчик,Алматы,,600000.0,KZT,2024-11-26T07:37:35+0300,DIP KZ,"Опыт работы с State Manager-ом (Bloc, Cubit). Знание принципов <highlighttext>разработки</highlighttext> мобильных приложений для <highlighttext>iOS</highlighttext> и Android. Опыт работы с...",fullDay,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Разработчик гибридных мобильных приложений,Алматы,,,,2024-11-18T08:20:00+0300,Business Applications Solutions,"Понимание кроссплатформенной <highlighttext>разработки</highlighttext> и опыт создания приложений, которые работают без потерь производительности как на <highlighttext>iOS</highlighttext>, так и на Android. ",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Менеджер продукта,Астана,,,,2024-12-15T16:20:46+0300,«Izi Paq»,"Технические навыки: Знание процессов <highlighttext>разработки</highlighttext> мобильных приложений: понимание платформ <highlighttext>iOS</highlighttext> и Android. Опыт работы с инструментами управления проектами: JIRA, Trello...",fullDay,HOURS_8,5/2,Менеджер продукта,От 3 до 6 лет,full
Senior Unity Developer (Mobile midcore Games),Астана,500000.0,1500000.0,KZT,2024-11-23T12:29:34+0300,AB-Service Company,"Уверенное знание C# и опыт использования паттернов проектирования. Знание особенностей платформ Android и <highlighttext>iOS</highlighttext>, их ограничений и возможностей. ",fullDay,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
React Native Developer,Астана,,,,2024-11-18T14:47:22+0300,Zoftify Eesti OÜ,"Camera, Push notifications, Maps). Experience <highlighttext>developing</highlighttext> pixel-perfect mobile apps. Good spoken English. Commercial native app <highlighttext>development</highlighttext> experience (<highlighttext>iOS</highlighttext>, Android). ",remote,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Product Designer в Avtoelon.uz,Алматы,650000.0,1100000.0,KZT,2024-12-02T12:12:13+0300,Kolesa (АО Колеса),"Опыт работы с мобильными интерфейсами в продуктовой команде. Умение слушать и слышать разных стейкхолдеров. Навыки работы с аналитикой, проведения UX...",fullDay,HOURS_8,5/2,"Дизайнер, художник",От 1 года до 3 лет,full
Unity Developer (Middle/Senior),Астана,1100.0,,USD,2024-12-16T15:25:07+0300,Black Fire (БЛЭК ФАЕР),"Опыт <highlighttext>разработки</highlighttext> коммерческих проектов на Unity (2+ лет). Опыт <highlighttext>разработки</highlighttext> проектов, выпущенных в production. Опыт работы с Android, <highlighttext>iOS</highlighttext>. ",remote,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Senior IOS разработчик,Алматы,,,,2024-12-06T06:38:45+0300,"ALSECO, АО","Умение работать в команде. Будет плюсом опыт работы в Postman, Jira, Figma, CI/CD.",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Flutter Senior / Team Leader,Алматы,1500.0,3000.0,USD,2024-11-21T11:58:45+0300,Paloma365,Знание русского и английского языка.,fullDay,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
Full stack developer (React Native/Expo и Node.js/Nest),Алматы,,,,2024-12-15T12:58:59+0300,FETUSPLUS,Уверенные знания и опыт работы с Node.js/NestJS. Понимание принципов <highlighttext>разработки</highlighttext> RESTful API. Опыт работы с системами аутентификации и авторизации. ,fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Аналитик Middle в сфере создания мобильных приложений,Алматы,,,,2024-12-06T10:17:22+0300,Business Applications Solutions,"Понимание особенностей гибридной <highlighttext>разработки</highlighttext> для Android и <highlighttext>iOS</highlighttext>, понимание принципов работы гибридных приложений (Flutter, React Native). Способность собирать и обрабатывать...",fullDay,HOURS_8,5/2,Системный аналитик,От 3 до 6 лет,full
Senior C++ Software Engineer (Build System),Астана,,,,2024-12-15T20:02:51+0300,Playrix,Опыт <highlighttext>разработки</highlighttext> коммерческих проектов на С++ не менее пяти лет (опыт в gamedev необязателен). Опыт с кроссплатформенной <highlighttext>разработкой</highlighttext> под <highlighttext>iOS</highlighttext>...,remote,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Full stack developer (React Native/Expo и Node.js/Nest),Астана,,,,2024-12-15T12:58:59+0300,FETUSPLUS,Уверенные знания и опыт работы с Node.js/NestJS. Понимание принципов <highlighttext>разработки</highlighttext> RESTful API. Опыт работы с системами аутентификации и авторизации. ,fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Technical Director,Астана,,,,2024-12-01T13:12:06+0300,Playrix,"Сильная техническая экспертиза и hand-on опыт в <highlighttext>разработке</highlighttext>, предпочтительно в крупных мобильных продуктах (<highlighttext>iOS</highlighttext>/Android native, C++/C#/Java...",fullDay,HOURS_8,5/2,Технический директор (CTO),Более 6 лет,full
Middle C++ Software Engineer (Gameplay),Астана,,,,2024-12-10T21:25:28+0300,Playrix,Опыт коммерческого программирования на С++ от двух лет. Опыт клиентской продуктовой <highlighttext>разработки</highlighttext>. Опыт игровой <highlighttext>разработки</highlighttext>. Опыт работы с популярными игровыми...,fullDay,HOURS_8,5/2,"Программист, разработчик",От 1 года до 3 лет,full
Senior Full-stack developer,Алматы,,,,2024-11-22T11:14:25+0300,United Developers,"Уверенное знание TypeScript. Уверенное знание React.js. Опыт <highlighttext>разработки</highlighttext> backend-приложений на NodeJS (NestJS, Prisma, Postgres);высокая скорость работы (анализ своего...",fullDay,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
Senior Engineering Manager,Алматы,,,,2024-11-21T12:26:26+0300,Playrix,"Стек: C++, Python, Go, JS. Опыт работы в <highlighttext>разработке</highlighttext> игр. Опыт создания инструментов для <highlighttext>разработки</highlighttext> mobile/desktop продуктов. ",fullDay,HOURS_8,5/2,Технический директор (CTO),Более 6 лет,full
Senior Unity Software Engineer (Gameplay),Астана,,,,2024-12-05T14:49:56+0300,Playrix,"Опыт <highlighttext>разработки</highlighttext> коммерческих проектов на С++ и/или Unity не менее 4 лет. Опыт <highlighttext>разработки</highlighttext> проектов, выпущенных в production. ",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Senior Frontend Developer (React Native),Алматы,,,,2024-12-04T11:12:03+0300,Andersen,"Proven experience working with React framework for channels <highlighttext>development</highlighttext> and integrations (Card, Payments, Bill payments etc.) in a banking environment.",fullDay,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
Director of Engineering,Алматы,,,,2024-12-01T13:21:12+0300,Playrix,"Сильная техническая экспертиза и hands-on опыт в <highlighttext>разработке</highlighttext>, предпочтительно в крупных mobile или desktop продуктах (<highlighttext>iOS</highlighttext>/Android native, C++...",fullDay,HOURS_8,5/2,Технический директор (CTO),Более 6 лет,full
Senior C++/Python Software Engineer (Engine),Астана,,,,2024-12-05T14:26:42+0300,Playrix,Опыт проектирования архитектуры. Опыт кроссплатформенной <highlighttext>разработки</highlighttext>. Опыт <highlighttext>разработки</highlighttext> под <highlighttext>iOS</highlighttext> или Android. Знание OpenGL/OpenGL ES. Опыт работы с популярными...,fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Senior Engineering Manager,Астана,,,,2024-11-21T12:26:26+0300,Playrix,"Стек: C++, Python, Go, JS. Опыт работы в <highlighttext>разработке</highlighttext> игр. Опыт создания инструментов для <highlighttext>разработки</highlighttext> mobile/desktop продуктов. ",fullDay,HOURS_8,5/2,Технический директор (CTO),Более 6 лет,full
Senior C++ Software Engineer (Tools),Астана,,,,2024-12-05T14:37:32+0300,Playrix,Опыт <highlighttext>разработки</highlighttext> под мобильные платформы <highlighttext>iOS</highlighttext> и Android. Опыт игровой <highlighttext>разработки</highlighttext>. Опыт работы с Python. Опыт CI/CD. ,fullDay,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
Lead C++ Software Engineer (Gameplay),Астана,,,,2024-12-05T15:56:25+0300,Playrix,"Опыт <highlighttext>разработки</highlighttext> коммерческих проектов на С++ и/или Unity не менее 3 лет. Опыт <highlighttext>разработки</highlighttext> проектов, выпущенных в production. ",fullDay,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
Senior C++ Software Engineer (Gameplay),Астана,,,,2024-12-05T13:25:15+0300,Playrix,"Опыт <highlighttext>разработки</highlighttext> коммерческих проектов на С++ и/или Unity не менее 4 лет. Опыт <highlighttext>разработки</highlighttext> проектов, выпущенных в production. ",fullDay,HOURS_8,5/2,"Программист, разработчик",От 3 до 6 лет,full
Lead Unity Software Engineer (Gameplay),Астана,,,,2024-12-11T18:21:23+0300,Playrix,"Опыт <highlighttext>разработки</highlighttext> коммерческих проектов на С++ и/или Unity не менее 3 лет. Опыт <highlighttext>разработки</highlighttext> проектов, выпущенных в production. ",fullDay,HOURS_8,5/2,"Программист, разработчик",Более 6 лет,full
